Team,Season,MeanEntropy,League
Villarreal CF,2010/2011,0.995576006455,Spain LIGA BBVA
Villarreal CF,2014/2015,0.962138368208,Spain LIGA BBVA
Villarreal CF,2009/2010,1.00457622348,Spain LIGA BBVA
RC Recreativo,2008/2009,1.01080067095,Spain LIGA BBVA
Valencia CF,2011/2012,0.973827462298,Spain LIGA BBVA
Valencia CF,2013/2014,0.973883567151,Spain LIGA BBVA
Valencia CF,2015/2016,0.989117612898,Spain LIGA BBVA
Valencia CF,2012/2013,0.975069063601,Spain LIGA BBVA
Valencia CF,2008/2009,1.02209709507,Spain LIGA BBVA
Valencia CF,2010/2011,0.991575862393,Spain LIGA BBVA
Valencia CF,2014/2015,0.960665547532,Spain LIGA BBVA
Valencia CF,2009/2010,0.988524410855,Spain LIGA BBVA
UD Las Palmas,2015/2016,0.966190181393,Spain LIGA BBVA
Hércules Club de Fútbol,2010/2011,0.992661276821,Spain LIGA BBVA
Real Valladolid,2013/2014,0.982343874458,Spain LIGA BBVA
Real Valladolid,2012/2013,0.99855040301,Spain LIGA BBVA
Real Valladolid,2009/2010,0.998761323129,Spain LIGA BBVA
Real Valladolid,2008/2009,1.02701099814,Spain LIGA BBVA
Rayo Vallecano,2011/2012,1.00709759708,Spain LIGA BBVA
Rayo Vallecano,2013/2014,0.968795913726,Spain LIGA BBVA
Rayo Vallecano,2015/2016,0.983281314181,Spain LIGA BBVA
Rayo Vallecano,2012/2013,0.996707398096,Spain LIGA BBVA
Rayo Vallecano,2014/2015,0.968432343868,Spain LIGA BBVA
Sevilla FC,2011/2012,0.996520879934,Spain LIGA BBVA
Sevilla FC,2013/2014,0.983189535699,Spain LIGA BBVA
Sevilla FC,2015/2016,0.97507312672,Spain LIGA BBVA
Sevilla FC,2012/2013,0.998398765876,Spain LIGA BBVA
Sevilla FC,2008/2009,1.01151285146,Spain LIGA BBVA
Sevilla FC,2010/2011,0.997825327405,Spain LIGA BBVA
Sevilla FC,2014/2015,0.966674265377,Spain LIGA BBVA
