pc1,pc2,name,rating
-23894.1172424,-85.4179919781,Ander Herrera,81
-38247.1177775,-60.8181711812,Ander Iturraspe,81
-150472.116898,-58.4634536979,Andre-Pierre Gignac,81
-157839.117521,-65.7404367182,Andrea Pirlo,81
-157525.116402,-81.3277366722,Andres Guardado,81
-176885.116199,-80.9614438511,Antonio Candreva,81
-163622.115238,-2.74212965925,Ashley Williams,81
-148979.117862,-87.3996370699,Axel Witsel,81
4199.88301413,-36.575477252,Aymen Abdennour,81
-177251.111251,224.351242343,Benoit Costil,81
-147478.116715,-80.0210439902,Benoit Tremoulinas,81
-146091.118822,-71.3484534944,Bruno Soriano,81
-113228.114748,-59.2950801546,Carlos Vela,81
-73386.1131461,205.164376242,Danijel Subasic,81
-157661.115826,-68.233307043,David Villa,81
-157748.117151,-62.6154814072,Didier Drogba,81
175949.88444,-80.2145406428,Domenico Berardi,81
-142466.114335,-74.928632515,Dries Mertens,81
-80002.1174289,-81.7242780071,Ever Banega,81
-154935.117902,-82.4511680554,Gabi,81
-138600.116665,-50.5768142192,Gary Medel,81
-161143.117343,-82.0050295977,Gonzalo Castro,81
-150112.116014,-19.7564565768,Gonzalo Rodriguez,81
-24900.1163773,-80.113697527,Ivan Perisic,81
-44777.1171172,-82.9730406109,Jack Wilshere,81
23941.8875988,200.332265673,Jasper Cillessen,81
-154788.114071,-62.5419863598,Jeremy Menez,81
-16872.1163149,-32.3403621237,Joel Matip,81
-162018.115132,9.36280237382,Jose Fonte,81
286018.883724,-8.19130690301,Jose Gimenez,81
-38240.1144947,-62.8927680811,Jose Maria Callejon,81
-33504.1153147,-80.1905730145,Juan Cuadrado,81
-150146.116595,-65.1732639742,Juanfran,81
-147526.115488,-65.9957315303,Kaka,81
-151786.115669,-45.7041392424,Klaas Jan Huntelaar,81
-150177.117836,-74.9659048613,Lucas Biglia,81
26728.8848247,-73.2598483492,Lucas Moura,81
-94527.1154137,0.318505291109,Mamadou Sakho,81
-161244.115045,-39.0983535127,Mario Gomez,81
78794.8843478,-27.1444855732,Marquinhos,81
-165806.114917,8.05649074876,Martin Skrtel,81
-74898.1166193,-31.1410293395,Mateo Pablo Musacchio,81
-141750.115872,-59.4173481959,Matteo Darmian,81
-6660.11150786,207.918814806,Mattia Perin,81
-130224.116184,-72.80961097,Max Kruse,81
-157705.115353,21.2698007053,Nemanja Vidic,81
-161205.117748,-71.7365012565,Nuri Sahin,81
-78955.1156601,-17.1931658684,Omer Toprak,81
-156001.116422,-68.693097039,Patrice Evra,81
4054.88568286,-61.3471643349,Patrick Herrmann,81
137345.884913,-76.7415355307,Paulo Dybala,81
-157910.111858,212.613497746,Pepe Reina,81
-165302.117328,3.47991693328,Phil Jagielka,81
-162751.116153,-72.6204834827,Raffael,81
58004.8862179,-54.4137488732,Raheem Sterling,81
-154541.115768,-7.62990255691,Raul Albiol,81
-154699.118602,-80.3047011126,Raul Garcia,81
89772.8854691,-62.9885129388,Riyad Mahrez,81
-157727.116321,-69.4975844158,Robin van Persie,81
